time,open,high,low,close,tick_volume,spread,real_volume
2019-10-07,106.756,107.45,106.686,107.249,25541,11,0
2019-10-08,107.249,107.439,106.81,106.938,35005,11,0
2019-10-09,106.939,107.621,106.939,107.221,29044,11,0
2019-10-10,107.223,107.968,107.168,107.863,38218,11,0
2019-10-11,107.865,108.614,107.847,108.384,32779,11,0
2019-10-13,108.347,108.517,108.306,108.472,2834,11,0
2019-10-14,108.472,108.472,108.032,108.394,23094,11,0
2019-10-15,108.394,108.893,108.152,108.795,27387,11,0
2019-10-16,108.795,108.845,108.564,108.68,29924,11,0
2019-10-17,108.679,108.926,108.454,108.586,29965,11,0
2019-10-18,108.588,108.716,108.374,108.38,23141,11,0
2019-10-20,108.44,108.475,108.3,108.403,2539,11,0
2019-10-21,108.404,108.653,108.367,108.601,20627,11,0
2019-10-22,108.601,108.72,108.423,108.483,20198,11,0
2019-10-23,108.482,108.699,108.246,108.633,22231,11,0
2019-10-24,108.633,108.745,108.493,108.608,21292,11,0
2019-10-25,108.608,108.768,108.508,108.645,16970,11,0
2019-10-27,108.713,108.734,108.653,108.733,1818,11,0
2019-10-28,108.733,109.034,108.654,108.974,17771,11,0
2019-10-29,108.973,109.062,108.756,108.871,18564,11,0
2019-10-30,108.871,109.28,108.718,108.792,22258,11,0
2019-10-31,108.793,108.858,107.923,107.996,27139,11,0
2019-11-01,107.997,108.319,107.885,108.164,19769,11,0
2019-11-03,108.215,108.23,108.176,108.206,2616,20,0
2019-11-04,108.21,108.709,108.202,108.695,17186,11,0
2019-11-05,108.698,109.237,108.644,109.135,22737,11,0
2019-11-06,109.139,109.177,108.815,108.908,21985,11,0
2019-11-07,108.91,109.481,108.645,109.26,28325,11,0
2019-11-08,109.265,109.47,109.075,109.208,21797,11,0
2019-11-10,109.193,109.24,109.175,109.191,2702,20,0
2019-11-11,109.196,109.241,108.891,109.034,16519,11,0
2019-11-12,109.037,109.287,108.921,108.984,21855,11,0
2019-11-13,108.988,109.144,108.65,108.789,22717,11,0
2019-11-14,108.792,108.857,108.24,108.486,24800,11,0
2019-11-15,108.49,108.85,108.449,108.811,16965,11,0
2019-11-17,108.786,108.793,108.651,108.691,1725,20,0
2019-11-18,108.693,109.064,108.508,108.658,21839,11,0
